Priority,Category,Task,Details,Where / Command
1,GitHub,Check the repo and first CI run,"Repo is live and public. Confirm both workflows show green in the Actions tab; the hourly market refresh starts on its own next trading hour (or trigger it manually with Run workflow).",https://github.com/arthurykim/portfolio-decision-tool/actions
2,GitHub,Trigger the market-refresh workflow once,"Manually run it to confirm the bot can commit the snapshot (Actions -> market refresh -> Run workflow).",GitHub Actions tab
3,Local,Install Docker Desktop,"Needed to build/run the container locally and to push the image when deploying. Not installed on this Mac today.",https://docker.com/products/docker-desktop
4,Local,Install the task CLI (optional but handy),"Gives you task dev / task test / task deploy:aws etc. Everything also works without it (commands are in the README).",brew install go-task
5,AWS,Create AWS account + access keys,"Sign up (or reuse an account), create an IAM user with AdministratorAccess for the first deploy, then run aws configure with its keys.",aws configure
6,AWS,Deploy to App Runner,"One command builds the image, pushes to ECR, and creates the service with health checks. Prints your public HTTPS URL. Roughly $5-10/month.",./deploy/aws-apprunner.sh us-east-1
7,AWS,Set production environment variables,"On the App Runner service set SECRET_KEY (openssl rand -hex 32) and COOKIE_SECURE=1 so sessions survive restarts and cookies are HTTPS-only. Optionally ANTHROPIC_API_KEY for AI chat answers.",AWS console -> App Runner -> Configuration
8,Product,Register YOUR account first on the live site,"The first registered user becomes the site admin (local dev DB was reset so this also applies locally). Then edit the About page from the About tab.",your deployed URL
9,AI,Get an Anthropic API key,"Enables Claude-generated chat answers instead of extractive mode. Export it locally too when developing.",https://console.anthropic.com -> API keys
10,AI,Run the RAGAS evaluation,"With the key set: installs eval extras and scores faithfulness / context precision / context recall on the 12-question golden set. Results land in eval/results.json - a nice number to quote in the README.",task eval
11,Later,Real SSO (Google or GitHub sign-in),"Current auth is safe self-hosted sessions. For true SSO you must create an OAuth app in the provider's console (only you can); then we wire it in as an alternate login.",Google Cloud console / GitHub developer settings
12,Later,Durable database for accounts,"App Runner's filesystem is ephemeral so accounts reset on redeploy. When accounts matter: move DB_PATH to a mounted volume (Azure Files) or migrate to Postgres/RDS.",deploy/DEPLOY.md notes
13,Later,README screenshots,"Add 2-3 screenshots (Markets dark mode, Stocks, Backtest) to the README - biggest visual credibility boost for the repo.",docs/ folder + README
14,Later,Review market-data terms,"Yahoo Finance data via yfinance is fine for a personal/educational project; review terms before monetizing or heavy traffic.",yfinance docs
